facebook.com, 31.13.93.35
youtube.com, 172.217.1.78
yahoo.com, 72.30.35.9
live.com, 204.79.197.212
wikipedia.org, 208.80.153.224
msn.com, 13.82.28.61
baidu.com, 123.125.115.110
blogspot.com, 172.217.2.9
microsoft.com, 23.100.122.175
qq.com, 111.161.64.40
taobao.com, 140.205.220.96
bing.com, 204.79.197.200
sina.com.cn, 202.108.33.107
soso.com, 119.28.109.132
163.com, 123.58.180.7
ask.com, 151.101.70.114
adobe.com, 193.104.215.58
twitter.com, 104.244.42.65
mozilla.com, 63.245.208.194
youku.com, 106.11.47.19
andysayler.com, 138.197.228.157
wmfo.org, 23.92.21.128
sdjjdsaf.com, 
amazon.com, 176.32.98.166
wordpress.com, 192.0.78.9
tudou.com, 106.11.47.20
yahoo.co.jp, 182.22.59.229
sohu.com, 221.179.177.36
apple.com, 17.178.96.59
hao123.com, 220.181.163.1
windows.com, 23.100.122.175
ebay.com, 66.135.216.190
pps.tv, 101.227.188.170
xunlei.com, 119.188.108.240
56.com, 101.227.173.126
fc2.com, 54.213.36.26
paypal.com, 64.4.250.37
sogou.com, 119.28.109.132
tmall.com, 140.205.94.193
ku6.com, 117.50.1.222
rakuten.co.jp, 133.237.61.176
about.com, 151.101.129.121
orkut.com.br, 
ifeng.com, 210.51.19.63
goo.ne.jp, 153.254.147.65
bbc.co.uk, 151.101.64.81
yandex.ru, 5.255.255.5
myspace.com, 63.135.90.70
mail.ru, 217.69.139.201
cnet.com, 64.30.228.118
go.com, 23.236.60.174
4399.com, 118.184.184.70
orkut.com, 216.239.38.21
skype.com, 104.40.50.126
ameblo.jp, 23.216.87.243
naver.com, 210.89.160.88
flickr.com, 69.147.92.11
4shared.com, 204.155.149.43
amazon.co.jp, 52.119.164.121
linkedin.com, 108.174.10.10
dailymotion.com, 195.8.215.136
imdb.com, 52.94.237.74
aol.com, 124.108.115.87
hotmail.com, 204.79.197.212
360.cn, 101.198.193.22
craigslist.org, 208.82.237.226
weather.com, 23.204.246.160
soku.com, 106.11.186.1
alibaba.com, 198.11.132.23
megaupload.com, 
renren.com, 120.133.2.243
livedoor.jp, 203.104.153.16
blogger.com, 172.217.11.233
vkontakte.ru, 95.213.4.228
answers.com, 151.101.192.203
rapidshare.com, 5.9.19.105
daum.net, 203.133.167.16
7k7k.com, 101.200.128.82
2345.com, 42.62.30.180
photobucket.com, 209.17.68.100
mediafire.com, 104.19.195.29
ehow.com, 23.227.11.12
seesaa.net, 143.204.31.12
paipai.com, 
alipay.com, 110.75.139.5
softonic.com, 35.186.245.174
nifty.com, 222.158.213.148
imageshack.us, 208.94.3.19
cnn.com, 151.101.65.67
tianya.cn, 124.225.65.154
mywebsearch.com, 74.113.237.48
zynga.com, 54.200.204.21
partypoker.com, 185.37.77.41
hp.com, 15.72.228.83
walmart.com, 161.170.230.170
kugou.com, 14.18.236.182
ebay.de, 66.211.181.20
youdao.com, 61.135.218.27
hotfile.com, 18.207.9.28
qiyi.com, 101.227.188.174
pconline.com.cn, 219.136.245.40
odnoklassniki.ru, 5.61.23.11
jp.msn.com, 13.88.15.24
